Role,Department/Class,Name,Username/Email,Alternative ID,Password
Admin,Administration,Dr. K. S. Ramanathan,admin@college.edu,ADMIN-01,admin123
Tutor,1st B.Sc AI & ML,Prof. S. Rajesh,tutor123@gmail.com,TUT_AIML_01,tutor123
Tutor,2nd B.Sc AI & ML,Dr. A. Meenakshi,meenakshi.faculty@college.edu,TUT_AIML_02,Meenakshi@AIML2
Tutor,3rd B.Sc AI & ML,Prof. M. Saravanan,saravanan.faculty@college.edu,TUT_AIML_03,Saravanan@AIML3
Tutor,1st BCA,Dr. M. Deepa,deepa.faculty@college.edu,TUT_BCA_01,Deepa@BCA1
Tutor,2nd BCA,Prof. P. Suresh,suresh.faculty@college.edu,TUT_BCA_02,Suresh@BCA2
Tutor,3rd BCA,Dr. K. Geetha,geetha.faculty@college.edu,TUT_BCA_03,Geetha@BCA3
Tutor,1st B.Sc Computer Science,Prof. V. Karthik,karthik.faculty@college.edu,TUT_CS_01,Karthik@CS1
Tutor,2nd B.Sc Computer Science,Prof. R. Vijay,vijay.faculty@college.edu,TUT_CS_02,Vijay@CS2
Tutor,3rd B.Sc Computer Science,Dr. S. Balamurugan,balamurugan.faculty@college.edu,TUT_CS_03,Balamurugan@CS3
Student,1st B.Sc AI & ML,K. Arun Kumar,student123@gmail.com,26AIML001,student123
Parent,1st B.Sc AI & ML (Ward: 26AIML001),Mr. Ramesh Kumar,father133@gmail.com,Parent-26AIML001,mother123
Student,1st B.Sc AI & ML,M. Kavitha,kavitha.26aiml002@college.edu,26AIML002,Pass@26AIML002
Parent,1st B.Sc AI & ML (Ward: 26AIML002),Mr. Radhakrishnan,radhakrishnan.26aiml002@gmail.com,Parent-26AIML002,Parent@26AIML002
Student,1st B.Sc AI & ML,R. Vignesh,vignesh.26aiml003@college.edu,26AIML003,Pass@26AIML003
Parent,1st B.Sc AI & ML (Ward: 26AIML003),Mr. Mani,mani.26aiml003@gmail.com,Parent-26AIML003,Parent@26AIML003
Student,1st B.Sc AI & ML,G. Ananya Sri,ananya.26aiml004@college.edu,26AIML004,Pass@26AIML004
Parent,1st B.Sc AI & ML (Ward: 26AIML004),Mr. Thangavel,thangavel.26aiml004@gmail.com,Parent-26AIML004,Parent@26AIML004
Student,1st B.Sc AI & ML,T. Dinesh Kumar,dinesh.26aiml005@college.edu,26AIML005,Pass@26AIML005
Parent,1st B.Sc AI & ML (Ward: 26AIML005),Mr. Ganesan,ganesan.26aiml005@gmail.com,Parent-26AIML005,Parent@26AIML005
Student,1st B.Sc AI & ML,N. Divya Bharathi,divya.26aiml006@college.edu,26AIML006,Pass@26AIML006
Parent,1st B.Sc AI & ML (Ward: 26AIML006),Mr. Balan,balan.26aiml006@gmail.com,Parent-26AIML006,Parent@26AIML006
Student,1st B.Sc AI & ML,B. Sanjay,sanjay.26aiml007@college.edu,26AIML007,Pass@26AIML007
Parent,1st B.Sc AI & ML (Ward: 26AIML007),Mr. Natarajan,natarajan.26aiml007@gmail.com,Parent-26AIML007,Parent@26AIML007
Student,1st B.Sc AI & ML,A. Keerthana,keerthana.26aiml008@college.edu,26AIML008,Pass@26AIML008
Parent,1st B.Sc AI & ML (Ward: 26AIML008),Mr. Velmurugan,velmurugan.26aiml008@gmail.com,Parent-26AIML008,Parent@26AIML008
Student,1st B.Sc AI & ML,V. Harish Raghav,harish.26aiml009@college.edu,26AIML009,Pass@26AIML009
Parent,1st B.Sc AI & ML (Ward: 26AIML009),Mr. Arumugam,arumugam.26aiml009@gmail.com,Parent-26AIML009,Parent@26AIML009
Student,1st B.Sc AI & ML,P. Deepa Lakshmi,deepa.26aiml010@college.edu,26AIML010,Pass@26AIML010
Parent,1st B.Sc AI & ML (Ward: 26AIML010),Mr. Krishnan,krishnan.26aiml010@gmail.com,Parent-26AIML010,Parent@26AIML010
Student,1st B.Sc AI & ML,J. Manoj Kumar,manoj.26aiml011@college.edu,26AIML011,Pass@26AIML011
Parent,1st B.Sc AI & ML (Ward: 26AIML011),Mr. Annamalai,annamalai.26aiml011@gmail.com,Parent-26AIML011,Parent@26AIML011
Student,1st B.Sc AI & ML,C. Swetha,swetha.26aiml012@college.edu,26AIML012,Pass@26AIML012
Parent,1st B.Sc AI & ML (Ward: 26AIML012),Mr. Selvam,selvam.26aiml012@gmail.com,Parent-26AIML012,Parent@26AIML012
Student,1st B.Sc AI & ML,E. Naveen Prasath,naveen.26aiml013@college.edu,26AIML013,Pass@26AIML013
Parent,1st B.Sc AI & ML (Ward: 26AIML013),Mr. Ramanathan,ramanathan.26aiml013@gmail.com,Parent-26AIML013,Parent@26AIML013
Student,1st B.Sc AI & ML,D. Sneha,sneha.26aiml014@college.edu,26AIML014,Pass@26AIML014
Parent,1st B.Sc AI & ML (Ward: 26AIML014),Mr. Muthukumar,muthukumar.26aiml014@gmail.com,Parent-26AIML014,Parent@26AIML014
Student,1st B.Sc AI & ML,L. Gokulnath,gokulnath.26aiml015@college.edu,26AIML015,Pass@26AIML015
Parent,1st B.Sc AI & ML (Ward: 26AIML015),Mr. Palanisamy,palanisamy.26aiml015@gmail.com,Parent-26AIML015,Parent@26AIML015
Student,1st B.Sc AI & ML,H. Pavithra,pavithra.26aiml016@college.edu,26AIML016,Pass@26AIML016
Parent,1st B.Sc AI & ML (Ward: 26AIML016),Mr. Chandran,chandran.26aiml016@gmail.com,Parent-26AIML016,Parent@26AIML016
Student,1st B.Sc AI & ML,Y. Karthikeyan,karthikeyan.26aiml017@college.edu,26AIML017,Pass@26AIML017
Parent,1st B.Sc AI & ML (Ward: 26AIML017),Mr. Jayaraman,jayaraman.26aiml017@gmail.com,Parent-26AIML017,Parent@26AIML017
Student,1st B.Sc AI & ML,K. Abinaya,abinaya.26aiml018@college.edu,26AIML018,Pass@26AIML018
Parent,1st B.Sc AI & ML (Ward: 26AIML018),Mr. Durairaj,durairaj.26aiml018@gmail.com,Parent-26AIML018,Parent@26AIML018
Student,1st B.Sc AI & ML,S. Vigneshwaran,vigneshwaran.26aiml019@college.edu,26AIML019,Pass@26AIML019
Parent,1st B.Sc AI & ML (Ward: 26AIML019),Mr. Elango,elango.26aiml019@gmail.com,Parent-26AIML019,Parent@26AIML019
Student,1st B.Sc AI & ML,M. Lavanya,lavanya.26aiml020@college.edu,26AIML020,Pass@26AIML020
Parent,1st B.Sc AI & ML (Ward: 26AIML020),Mr. Loganathan,loganathan.26aiml020@gmail.com,Parent-26AIML020,Parent@26AIML020
Student,1st B.Sc AI & ML,R. Ashwin Soundar,ashwin.26aiml021@college.edu,26AIML021,Pass@26AIML021
Parent,1st B.Sc AI & ML (Ward: 26AIML021),Mr. Soundararajan,soundararajan.26aiml021@gmail.com,Parent-26AIML021,Parent@26AIML021
Student,1st B.Sc AI & ML,G. Harini,harini.26aiml022@college.edu,26AIML022,Pass@26AIML022
Parent,1st B.Sc AI & ML (Ward: 26AIML022),Mr. Rajendran,rajendran.26aiml022@gmail.com,Parent-26AIML022,Parent@26AIML022
Student,1st B.Sc AI & ML,T. Siddharth,siddharth.26aiml023@college.edu,26AIML023,Pass@26AIML023
Parent,1st B.Sc AI & ML (Ward: 26AIML023),Mr. Kumaravel,kumaravel.26aiml023@gmail.com,Parent-26AIML023,Parent@26AIML023
Student,1st B.Sc AI & ML,N. Gayathri,gayathri.26aiml024@college.edu,26AIML024,Pass@26AIML024
Parent,1st B.Sc AI & ML (Ward: 26AIML024),Mr. Panneerselvam,panneerselvam.26aiml024@gmail.com,Parent-26AIML024,Parent@26AIML024
Student,1st B.Sc AI & ML,B. Ragav,ragav.26aiml025@college.edu,26AIML025,Pass@26AIML025
Parent,1st B.Sc AI & ML (Ward: 26AIML025),Mr. Vasudevan,vasudevan.26aiml025@gmail.com,Parent-26AIML025,Parent@26AIML025
Student,1st B.Sc AI & ML,A. Sandhya,sandhya.26aiml026@college.edu,26AIML026,Pass@26AIML026
Parent,1st B.Sc AI & ML (Ward: 26AIML026),Mr. Nagarajan,nagarajan.26aiml026@gmail.com,Parent-26AIML026,Parent@26AIML026
Student,1st B.Sc AI & ML,V. Mukesh,mukesh.26aiml027@college.edu,26AIML027,Pass@26AIML027
Parent,1st B.Sc AI & ML (Ward: 26AIML027),Mr. Thirumalai,thirumalai.26aiml027@gmail.com,Parent-26AIML027,Parent@26AIML027
Student,1st B.Sc AI & ML,P. Yamuna,yamuna.26aiml028@college.edu,26AIML028,Pass@26AIML028
Parent,1st B.Sc AI & ML (Ward: 26AIML028),Mr. Mohan,mohan.26aiml028@gmail.com,Parent-26AIML028,Parent@26AIML028
Student,1st B.Sc AI & ML,J. Aravind,aravind.26aiml029@college.edu,26AIML029,Pass@26AIML029
